!!!OTL: Complete Humdrum data list
!!!ONB: Commented entries have Humdrum syntax errors and are not downloaded.
!! vim: ts=39:nowrap
**ghname	**ghrepo	**from	**to
benory	1520s-project-scores	humdrum/Ano	early-music/anonymous-1520s
benory	1520s-project-scores	humdrum/Bar	early-music/barra
benory	1520s-project-scores	humdrum/Bau	early-music/bauldeweyn
benory	1520s-project-scores	humdrum/Bis	early-music/bisegueria
benory	1520s-project-scores	humdrum/Cha	early-music/champion
benory	1520s-project-scores	humdrum/Con	early-music/conseil
benory	1520s-project-scores	humdrum/Era	early-music/erasmus
benory	1520s-project-scores	humdrum/Fsc	early-music/festa-costanzo
benory	1520s-project-scores	humdrum/Fss	early-music/festa-sebastiano
benory	1520s-project-scores	humdrum/Fva	early-music/fevin-antoine
benory	1520s-project-scores	humdrum/Gom	early-music/gombert
benory	1520s-project-scores	humdrum/Gsc	early-music/gascongne
benory	1520s-project-scores	humdrum/Jac	early-music/jacotin
benory	1520s-project-scores	humdrum/Jan	early-music/janmaistre
benory	1520s-project-scores	humdrum/Jom	early-music/jachetofmantua
benory	1520s-project-scores	humdrum/Lfg	early-music/fage
benory	1520s-project-scores	humdrum/Lhe	early-music/lheritier
benory	1520s-project-scores	humdrum/Lpi	early-music/lupi
benory	1520s-project-scores	humdrum/Lps	early-music/lupus
benory	1520s-project-scores	humdrum/Lsa	early-music/lasantier
benory	1520s-project-scores	humdrum/Mlu	early-music/moulu
benory	1520s-project-scores	humdrum/Mou	early-music/mouton
benory	1520s-project-scores	humdrum/Ren	early-music/renaldo
benory	1520s-project-scores	humdrum/Ric	early-music/richafort
benory	1520s-project-scores	humdrum/Ser	early-music/sermisy
benory	1520s-project-scores	humdrum/Sil	early-music/silva
benory	1520s-project-scores	humdrum/Snf	early-music/senfl
benory	1520s-project-scores	humdrum/The	early-music/therache
benory	1520s-project-scores	humdrum/Ver	early-music/verdelot
benory	1520s-project-scores	humdrum/Vin	early-music/vinders
benory	1520s-project-scores	humdrum/Wil	early-music/willaert
ccarh	essen-folksong-collection	africa	songs/folksongs/essen/africa
ccarh	essen-folksong-collection	america/mexico	songs/folksongs/essen/america/mexico
ccarh	essen-folksong-collection	america/misc	songs/folksongs/essen/america/misc
ccarh	essen-folksong-collection	america/usa	songs/folksongs/essen/america/usa
ccarh	essen-folksong-collection	asia/china/han	songs/folksongs/essen/asia/china/han
ccarh	essen-folksong-collection	asia/china/natmin	songs/folksongs/essen/asia/china/natmin
ccarh	essen-folksong-collection	asia/china/shanxi	songs/folksongs/essen/asia/china/shanxi
ccarh	essen-folksong-collection	asia/china/xinhua	songs/folksongs/essen/asia/china/xinhua
ccarh	essen-folksong-collection	asia/misc	songs/folksongs/essen/asia/misc
ccarh	essen-folksong-collection	europa/czech	songs/folksongs/essen/europa/czech
ccarh	essen-folksong-collection	europa/danmark	songs/folksongs/essen/europa/danmark
ccarh	essen-folksong-collection	europa/deutschl/allerkbd	songs/folksongs/essen/europa/deutschl/allerkbd
ccarh	essen-folksong-collection	europa/deutschl/altdeu1	songs/folksongs/essen/europa/deutschl/altdeu1
ccarh	essen-folksong-collection	europa/deutschl/altdeu2	songs/folksongs/essen/europa/deutschl/altdeu2
ccarh	essen-folksong-collection	europa/deutschl/ballad	songs/folksongs/essen/europa/deutschl/ballad
ccarh	essen-folksong-collection	europa/deutschl/boehme	songs/folksongs/essen/europa/deutschl/boehme
ccarh	essen-folksong-collection	europa/deutschl/dva	songs/folksongs/essen/europa/deutschl/dva
ccarh	essen-folksong-collection	europa/deutschl/erk	songs/folksongs/essen/europa/deutschl/erk
ccarh	essen-folksong-collection	europa/deutschl/fink	songs/folksongs/essen/europa/deutschl/fink
ccarh	essen-folksong-collection	europa/deutschl/kinder	songs/folksongs/essen/europa/deutschl/kinder
ccarh	essen-folksong-collection	europa/deutschl/test	songs/folksongs/essen/europa/deutschl/test
ccarh	essen-folksong-collection	europa/deutschl/variant	songs/folksongs/essen/europa/deutschl/variant
ccarh	essen-folksong-collection	europa/deutschl/zuccal	songs/folksongs/essen/europa/deutschl/zuccal
ccarh	essen-folksong-collection	europa/elsass	songs/folksongs/essen/europa/elsass
ccarh	essen-folksong-collection	europa/england	songs/folksongs/essen/europa/england
ccarh	essen-folksong-collection	europa/france	songs/folksongs/essen/europa/france
ccarh	essen-folksong-collection	europa/italia	songs/folksongs/essen/europa/italia
ccarh	essen-folksong-collection	europa/jugoslav	songs/folksongs/essen/europa/jugoslav
ccarh	essen-folksong-collection	europa/lothring	songs/folksongs/essen/europa/lothring
ccarh	essen-folksong-collection	europa/luxembrg	songs/folksongs/essen/europa/luxembrg
ccarh	essen-folksong-collection	europa/magyar	songs/folksongs/essen/europa/magyar
ccarh	essen-folksong-collection	europa/misc	songs/folksongs/essen/europa/misc
ccarh	essen-folksong-collection	europa/nederlan	songs/folksongs/essen/europa/nederlan
ccarh	essen-folksong-collection	europa/oesterrh	songs/folksongs/essen/europa/oesterrh
ccarh	essen-folksong-collection	europa/polska	songs/folksongs/essen/europa/polska
ccarh	essen-folksong-collection	europa/romania	songs/folksongs/essen/europa/romania
ccarh	essen-folksong-collection	europa/rossiya	songs/folksongs/essen/europa/rossiya
ccarh	essen-folksong-collection	europa/schweiz	songs/folksongs/essen/europa/schweiz
ccarh	essen-folksong-collection	europa/sverige	songs/folksongs/essen/europa/sverige
ccarh	essen-folksong-collection	europa/tirol	songs/folksongs/essen/europa/tirol
ccarh	essen-folksong-collection	europa/ukraina	songs/folksongs/essen/europa/ukraina
Computational-Cognitive-Musicology-Lab	CoCoPops	Billboard/Data	songs/pop/billboard
craigsapp	bach-370-chorales	kern	bach/chorales-370
craigsapp	beethoven-piano-sonatas	kern	beethoven/piano/sonata
craigsapp	beethoven-string-quartets	kern	beethoven/quartet
craigsapp	chopin-mazurkas	kern	chopin/mazurkas
craigsapp	chopin-preludes	kern	chopin/preludes
craigsapp	creighton-nova-scotia	kern	songs/nova-scotia
craigsapp	densmore-teton-sioux	kern	songs/densmore/sioux
craigsapp	haydn-piano-sonatas	kern	haydn/piano
craigsapp	hummel-preludes	kern	hummel/preludes
craigsapp	joplin	kern	joplin
craigsapp	mozart-piano-sonatas	kern	mozart/piano/sonata
craigsapp	scarlatti-keyboard-sonatas	kern	scarlatti/sonata
humdrum-tools	bach-wtc	kern	bach/wtc
humdrum-tools	barbershop	kern	songs/harmonized/barbershop
humdrum-tools	child-ballads	kern	songs/child-ballads
humdrum-tools	foster-songs	kern	songs//foster
humdrum-tools	gershwin-songs	kern	songs/gershwin
humdrum-tools	schubert-songs	kern	songs/schubert
humdrum-tools	tonerow	berg	tonerow/berg
humdrum-tools	tonerow	schoenberg	tonerow/schoenberg
humdrum-tools	tonerow	webern	tonerow/webern
humdrum-tools	inventions	kern	bach/inventions
josquin-research-project	Agr	.	early-music/agricola
josquin-research-project	Ano	.	early-music/anonymous
josquin-research-project	Bin	.	early-music/binchois
josquin-research-project	Bru	.	early-music/brumel
josquin-research-project	Bus	.	early-music/busnoys
josquin-research-project	Com	.	early-music/compere
josquin-research-project	Das	.	early-music/daser
josquin-research-project	Duf	.	early-music/dufay
josquin-research-project	Fry	.	early-music/frye
josquin-research-project	Fva	.	early-music/fevin-antoine
josquin-research-project	Gas	.	early-music/gaspar
josquin-research-project	Isa	.	early-music/isaac
josquin-research-project	Jap	.	early-music/japart
josquin-research-project	Mar	.	early-music/martini
!! No data in Mou directory (only symbolic links):
!!josquin-research-project	Mou	.	early-music/mouton
josquin-research-project	Obr	.	early-music/obrecht
josquin-research-project	Oke	.	early-music/okeghem
josquin-research-project	Ort	.	early-music/orto
josquin-research-project	Pip	.	early-music/pipelare
josquin-research-project	Reg	.	early-music/regis
josquin-research-project	Rue	.	early-music/larue
josquin-research-project	Tin	.	early-music/tinctoris
!! Files need to be uploaded to repsitory:
!!musedata	humdrum-bach-chorales	kern	bach/chorales-185
musedata	humdrum-bach-brandenburg	kern	bach/brandenburg
musedata	humdrum-corelli	op1	corelli
musedata	humdrum-corelli	op3	corelli
musedata	humdrum-corelli	op4	corelli
musedata	humdrum-corelli	op5	corelli
musedata	humdrum-corelli	op6	corelli
musedata	humdrum-haydn-quartets	kern	haydn/quartet
musedata	humdrum-mozart-quartets	kern	mozart/quartet
musedata	humdrum-haydn-symphonies	kern	haydn/symphony
pl-wnifc	humdrum-chopin-first-editions	kern	chopin/first-editions
pl-wnifc	humdrum-chopin-first-editions	kern	nifc/popc1
pl-wnifc	humdrum-polish-scores	a-wn/kern	nifc/popc2/a-wn
pl-wnifc	humdrum-polish-scores	ch-gmu/kern	nifc/popc2/ch-gmu
pl-wnifc	humdrum-polish-scores	d-b/kern	nifc/popc2/d-b
pl-wnifc	humdrum-polish-scores	d-bnu/kern	nifc/popc2/d-bnu
pl-wnifc	humdrum-polish-scores	d-dl/kern	nifc/popc2/d-dl
pl-wnifc	humdrum-polish-scores	d-hs/kern	nifc/popc2/d-hs
pl-wnifc	humdrum-polish-scores	d-mbs/kern	nifc/popc2/d-mbs
pl-wnifc	humdrum-polish-scores	pl-cz/kern	nifc/popc2/pl-cz
pl-wnifc	humdrum-polish-scores	pl-gd/kern	nifc/popc2/pl-dg
pl-wnifc	humdrum-polish-scores	pl-kc/kern	nifc/popc2/pl-kc
pl-wnifc	humdrum-polish-scores	pl-kj/kern	nifc/popc2/pl-kj
pl-wnifc	humdrum-polish-scores	pl-kk/kern	nifc/popc2/pl-kk
pl-wnifc	humdrum-polish-scores	pl-kozmzk/kern	nifc/popc2/pl-kozmk
pl-wnifc	humdrum-polish-scores	pl-sa/kern	nifc/popc2/pl-sa
pl-wnifc	humdrum-polish-scores	pl-stab/kern	nifc/popc2/pl-stab
pl-wnifc	humdrum-polish-scores	pl-wn/kern	nifc/popc2/pl-wn
pl-wnifc	humdrum-polish-scores	pl-wnifc/kern	nifc/popc2/pl-wnifc
pl-wnifc	humdrum-polish-scores	pl-wru/kern	nifc/popc2/pl-wru
pl-wnifc	humdrum-polish-scores	pl-wtm/kern	nifc/popc2/pl-wtm
pl-wnifc	humdrum-polish-scores	pl-wumfc/kern	nifc/popc2/pl-wumfc
pl-wnifc	humdrum-polish-scores	s-uu/kern	nifc/popc2/s-uu
polyrhythm-project	rds-scores	kern	polyrhythm/rds
!! Humdrum validation errors:
!!shanahdt	smt_jazz_2019	omnibook_kern	jazz/omnibook
TassoInMusicProject	tasso-scores	Tam/kern	early-music/tasso
TassoInMusicProject	tasso-scores	Tbv/kern	early-music/tasso
TassoInMusicProject	tasso-scores	Tco/kern	early-music/tasso
TassoInMusicProject	tasso-scores	Tec/kern	early-music/tasso
TassoInMusicProject	tasso-scores	Tri/kern	early-music/tasso
TassoInMusicProject	tasso-scores	Trm/kern	early-music/tasso
TassoInMusicProject	tasso-scores	Trt/kern	early-music/tasso
TassoInMusicProject	tasso-scores	Tsg/kern	early-music/tasso
*-	*-	*-	*-
!!
!! Repositories that need extra parameters:
!!
**ghname	**ghrepo	**from	**to	**prefix	**suffix	**filter	**xfilter	**content	**sar
craigsapp	erk-liederschatz	kern	songs/harmonized/liederschatz	.	.	.	.	.	s/erk/liederschatz-/
